DATE,CPALTT01CAM659N
1992-07-01,1.2019229999999999
1992-08-01,1.080432
1992-09-01,1.323706
1992-10-01,1.566265
1992-11-01,1.6806720000000002
1992-12-01,2.171291
1993-01-01,2.040816
1993-02-01,2.40096
1993-03-01,1.913876
1993-04-01,1.7921150000000001
1993-05-01,1.9093080000000002
1993-06-01,1.666667
1993-07-01,1.662708
1993-08-01,1.7814729999999999
1993-09-01,1.7814729999999999
1993-10-01,1.8979830000000002
1993-11-01,1.8890200000000001
1993-12-01,1.652893
1994-01-01,1.294118
1994-02-01,0.11723330000000001
1994-03-01,0.23474179999999997
1994-04-01,0.23474179999999997
1994-05-01,-0.234192
1994-06-01,0
1994-07-01,0.11682239999999999
1994-08-01,0.11668610000000001
1994-09-01,0.23337220000000003
1994-10-01,-0.23282889999999998
1994-11-01,-0.1158749
1994-12-01,0.23228800000000002
1995-01-01,0.5807201
1995-02-01,1.873536
1995-03-01,2.107728
1995-04-01,2.459016
1995-05-01,2.934272
1995-06-01,2.6932080000000003
1995-07-01,2.567095
1995-08-01,2.214452
1995-09-01,2.2118740000000003
1995-10-01,2.3337220000000003
1995-11-01,2.088167
1995-12-01,1.7381229999999999
1996-01-01,1.6166280000000002
1996-02-01,1.264368
1996-03-01,1.490826
1996-04-01,1.371429
1996-05-01,1.482326
1996-06-01,1.482326
1996-07-01,1.251422
1996-08-01,1.482326
1996-09-01,1.480638
1996-10-01,1.824401
1996-11-01,1.931818
1996-12-01,2.164009
1997-01-01,2.159091
1997-02-01,2.270148
1997-03-01,1.9209040000000002
1997-04-01,1.6910939999999999
1997-05-01,1.460674
1997-06-01,1.685393
1997-07-01,1.685393
1997-08-01,1.797753
1997-09-01,1.683502
1997-10-01,1.455767
1997-11-01,0.8918617
1997-12-01,0.7803791
1998-01-01,1.112347
1998-02-01,0.9988901
1998-03-01,0.9977826999999999
1998-04-01,0.8869179
1998-05-01,1.10742
1998-06-01,0.9944751000000001
1998-07-01,0.9944751000000001
1998-08-01,0.8830021999999998
1998-09-01,0.6622517
1998-10-01,1.103753
1998-11-01,1.21547
1998-12-01,0.9955752
1999-01-01,0.6600659999999999
1999-02-01,0.6593406999999999
1999-03-01,0.9879254000000001
1999-04-01,1.648352
1999-05-01,1.533406
1999-06-01,1.6411380000000002
1999-07-01,1.8599560000000002
1999-08-01,2.078775
1999-09-01,2.631579
1999-10-01,2.292576
1999-11-01,2.183406
1999-12-01,2.6286970000000003
2000-01-01,2.1857919999999997
2000-02-01,2.729258
2000-03-01,3.043478
2000-04-01,2.162162
2000-05-01,2.373247
2000-06-01,2.798708
2000-07-01,2.9001069999999998
2000-08-01,2.572347
2000-09-01,2.6709400000000003
2000-10-01,2.774813
2000-11-01,3.2051279999999998
2000-12-01,3.201708
2001-01-01,2.994653
2001-02-01,2.869288
2001-03-01,2.42616
2001-04-01,3.492064
2001-05-01,3.8988410000000004
2001-06-01,3.3507849999999997
2001-07-01,2.713988
2001-08-01,2.8213169999999996
2001-09-01,2.601457
2001-10-01,1.869159
